message_id,conversation_id,sender_role,content,created_at,dt_prev_sec,msg_len,reaction,label
0_0,0,buyer,실물 사진 더 보여주실 수 있나요?,2025-10-12T00:11:44.375003,0,19,1,0
0_1,0,seller,"네, 구매 가능합니다!",2025-10-12T00:15:22.375003,218,12,0,0
0_2,0,buyer,감사합니다,2025-10-12T00:23:37.375003,495,5,0,0
0_3,0,seller,오늘 오후 가능합니다,2025-10-12T00:30:27.375003,410,11,0,0
0_4,0,buyer,배송비 포함인가요?,2025-10-12T00:38:41.375003,494,10,0,0
0_5,0,seller,"네, 구매 가능합니다!",2025-10-12T00:42:54.375003,253,12,0,0
0_6,0,buyer,빠른 답변 감사드려요,2025-10-12T00:49:07.375003,373,11,0,0
0_7,0,seller,사진 보내드릴게요,2025-10-12T00:49:18.375003,11,9,1,0
0_8,0,buyer,배송비 포함인가요?,2025-10-12T00:55:55.375003,397,10,0,0
0_9,0,seller,배송비 별도입니다,2025-10-12T00:56:43.375003,48,9,1,0
0_10,0,buyer,상품 상태는 어떤가요?,2025-10-12T01:04:15.375003,452,12,0,0
0_11,0,seller,알겠습니다,2025-10-12T01:05:13.375003,58,5,0,0
0_12,0,buyer,아 그렇군요,2025-10-12T01:34:18.375003,1745,6,1,0
0_13,0,seller,알겠습니다,2025-10-12T02:48:07.375003,4429,5,1,0
1_0,1,buyer,감사합니다,2025-10-15T00:11:44.375079,0,5,0,0
1_1,1,seller,네,2025-10-15T00:14:06.375079,142,1,0,0
1_2,1,buyer,죄송합니다만 다시 생각해볼게요,2025-10-15T00:15:08.375079,62,16,1,0
1_3,1,seller,가격은 정찰제입니다,2025-10-15T01:24:04.375079,4136,10,0,0
1_4,1,buyer,음... 좀 비싸네요,2025-10-15T02:53:08.375079,5344,11,0,1
2_0,2,buyer,가격 네고 가능할까요?,2025-10-09T00:11:44.375097,0,12,0,0
2_1,2,seller,오늘 오후 가능합니다,2025-10-09T00:18:42.375097,418,11,0,0
2_2,2,buyer,네 좋습니다!,2025-10-09T00:24:21.375097,339,7,0,0
2_3,2,seller,배송비 별도입니다,2025-10-09T00:25:39.375097,78,9,1,0
2_4,2,buyer,언제 거래 가능하신가요?,2025-10-09T00:30:40.375097,301,13,0,0
3_0,3,buyer,네 좋습니다!,2025-10-15T00:11:44.375111,0,7,0,0
3_1,3,seller,상품 상태 아주 좋습니다,2025-10-15T00:13:14.375111,90,13,0,0
3_2,3,buyer,배송비 포함인가요?,2025-10-15T00:18:23.375111,309,10,0,0
